5S_rRNA	RF00001	5S ribosomal RNA
SNORD28	RF00085	Small nucleolar RNA SNORD28
SNORD27	RF00086	Small nucleolar RNA SNORD27
SNORD26	RF00087	Small nucleolar RNA SNORD26
SNORD30	RF00088	Small nucleolar RNA SNORD30
SNORD31	RF00089	Small nucleolar RNA SNORD31
SNORA74	RF00090	Small nucleolar RNA SNORA74
SNORA62	RF00091	Small nucleolar RNA SNORA62/SNORA6 family
SNORA63	RF00092	Small nucleolar RNA SNORA63
SNORD18	RF00093	Small nucleolar RNA SNORD18
HDV_ribozyme	RF00094	Hepatitis delta virus ribozyme
snoPyro_CD	RF00095	Pyrococcus C/D box small nucleolar RNA
U8	RF00096	U8 small nucleolar RNA
snoR71	RF00097	Plant small nucleolar RNA R71
SNORD22	RF00099	Small nucleolar RNA SNORD22
7SK	RF00100	7SK RNA
SraC_RyeA	RF00101	SraC/RyeA RNA
VA	RF00102	VA RNA
mir-1	RF00103	mir-1 microRNA precursor family
mir-10	RF00104	mir-10 microRNA precursor family
SNORD115	RF00105	Small nucleolar RNA SNORD115
RNAI	RF00106	RNAI
FinP	RF00107	FinP
SNORD116	RF00108	Small nucleolar RNA SNORD116
Vimentin3	RF00109	Vimentin 3' UTR protein-binding region
RybB	RF00110	RybB RNA
SdsR_RyeB	RF00111	SdsR_RyeB RNA
CyaR_RyeE	RF00112	CyaR/Rye RNA
SIB_RNA	RF00113	Short Intergenic Abundant RNA
S15	RF00114	Ribosomal S15 leader
McaS	RF00115	McaS/IsrA RNA
C0465	RF00116	C0465 RNA
C0719	RF00117	C0719 RNA
rydB	RF00118	rydB RNA
C0299	RF00119	C0299 RNA
MicC	RF00121	MicC RNA
GadY	RF00122	GadY
IS102	RF00124	IS102 RNA
IS128	RF00125	IS128 RNA
ryfA	RF00126	ryfA RNA
t44	RF00127	t44 RNA
GlmY_tke1	RF00128	Glm Y RNA activator of glmS mRNA
mir-103	RF00129	mir-103/107 microRNA precursor
mir-192	RF00130	mir-192/215 microRNA precursor
mir-30	RF00131	mir-30 microRNA precursor
snoR24	RF00132	Small nucleolar RNA R24
SNORD33	RF00133	Small nucleolar RNA Z195/SNORD33/SNORD32 family
snoZ196	RF00134	Small nucleolar RNA Z196/R39/R59 family
snoZ223	RF00135	Small nucleolar RNA Z223
SNORD81	RF00136	Small nucleolar RNA SNORD81
SNORD83	RF00137	Small nucleolar RNA SNORD83
SNORD16	RF00138	Small nucleolar RNA SNORD16
SNORA72	RF00139	Small nucleolar RNA SNORA72
Alpha_RBS	RF00140	Alpha operon ribosome binding site
snoZ118	RF00142	Small nucleolar RNA Z118/Z121/Z120
mir-6	RF00143	mir-6 microRNA precursor
mir-199	RF00144	mir-199 microRNA precursor
snoZ105	RF00145	Small nucleolar RNA Z105
SNORD34	RF00147	Small nucleolar RNA SNORD34
snoZ103	RF00149	Small nucleolar RNA Z103
SNORD42	RF00150	Small nucleolar RNA SNORD42
SNORD58	RF00151	Small nucleolar RNA SNORD58
SNORD79	RF00152	Small nucleolar RNA SNORD79
SNORD62	RF00153	Small nucleolar RNA SNORD62
SNORD63	RF00154	Small nucleolar RNA SNORD63
SNORA66	RF00155	Small nucleolar RNA SNORA66
SNORA70	RF00156	Small nucleolar RNA SNORA70
SNORD39	RF00157	Small nucleolar RNA SNORD55/SNORD39
SNORD82	RF00158	Small nucleolar RNA SNORD82
snoZ168	RF00159	Small nucleolar RNA Z168/Z174
snoZ159	RF00160	Small nucleolar RNA Z159/U59
nos_TCE	RF00161	Nanos 3' UTR translation control element
SAM	RF00162	SAM riboswitch (S box leader)
Hammerhead_1	RF00163	Hammerhead ribozyme (type I)
s2m	RF00164	Coronavirus 3' stem-loop II-like motif (s2m)
Corona_pk3	RF00165	Coronavirus 3' UTR pseudoknot
PrrB_RsmZ	RF00166	PrrB/RsmZ RNA family
Purine	RF00167	Purine riboswitch
Lysine	RF00168	Lysine riboswitch
Bacteria_small_SRP	RF00169	Bacterial small signal recognition particle RNA
msr	RF00170	Retron msr RNA
Tombus_5	RF00171	Tombusvirus 5' UTR
CAESAR	RF00172	ctgf/hcs24 CAESAR
Hairpin	RF00173	Hairpin ribozyme
Cobalamin	RF00174	Cobalamin riboswitch
HIV-1_DIS	RF00175	Human immunodeficiency virus type 1 dimerisation initiation site
Tombus_3_IV	RF00176	Tombusvirus 3' UTR region IV
SSU_rRNA_bacteria	RF00177	Bacterial small subunit ribosomal RNA
mir-24	RF00178	mir-24 microRNA precursor family
GAIT	RF00179	GAIT element
REN-SRE	RF00180	Renin stability regulatory element (REN-SRE)
SNORD113	RF00181	Small nucleolar RNA SNORD113/SNORD114 family
Corona_package	RF00182	Coronavirus packaging signal
G-CSF_SLDE	RF00183	G-CSF factor stem-loop destabilising element (SLDE)
PVX_3	RF00184	Potato virus X cis-acting regulatory element
Flavi_CRE	RF00185	Flavivirus 3' UTR cis-acting replication element (CRE)
SNORD101	RF00186	Small nucleolar RNA SNORD101
SNORD102	RF00187	Small nucleolar RNA SNORD102
SNORD103	RF00188	Small nucleolar RNA SNORD103/SNORD85
SNORD95	RF00189	Small nucleolar RNA SNORD95
SNORA16	RF00190	Small nucleolar RNA SNORA16B/SNORA16A family
SNORA57	RF00191	Small nucleolar RNA SNORA57
BLV_package	RF00192	Bovine leukaemia virus RNA packaging signal
CTV_rep_sig	RF00193	Citrus tristeza virus replication signal
Rubella_3	RF00194	Rubella virus 3' cis-acting element
RsmY	RF00195	RsmY RNA family
AMV_RNA1_SL	RF00196	Alfalfa mosaic virus RNA 1 5' UTR stem-loop
SL1	RF00198	SL1 RNA
SL2	RF00199	SL2 RNA
snoZ199	RF00200	Small nucleolar RNA Z199
snoZ278	RF00201	Small nucleolar RNA Z278
snoR66	RF00202	Small nucleolar RNA R66
snoR160	RF00203	Small nucleolar RNA R160
snoR12	RF00204	Small nucleolar RNA R12
snoR41	RF00205	Small nucleolar RNA R41
U54	RF00206	Small nucleolar RNA U54
K10_TLS	RF00207	K10 transport/localisation element (TLS)
snoR72	RF00208	Small nucleolar RNA R72
IRES_Pesti	RF00209	Pestivirus internal ribosome entry site (IRES)
IRES_Picorna_2	RF00210	Aphthovirus internal ribosome entry site (IRES)
SNORD35	RF00211	Small nucleolar RNA SNORD35
SNORD38	RF00212	Small nucleolar RNA SNORD38
snoR38	RF00213	Small nucleolar RNA R38
Retro_dr1	RF00214	Retrovirus direct repeat 1 (dr1)
Tombus_3_III	RF00215	Tombus virus defective interfering (DI) RNA region 3
IRES_c-myc	RF00216	c-myc internal ribosome entry site (IRES)
SNORD20	RF00217	Small nucleolar RNA SNORD20
SNORD46	RF00218	Small nucleolar RNA SNORD46
Rhino_CRE	RF00220	Human rhinovirus internal cis-acting regulatory element (CRE)
SNORD43	RF00221	Small nucleolar RNA SNORD43
IRES_Bag1	RF00222	Bag-1 internal ribosome entry site (IRES)
IRES_Bip	RF00223	bip internal ribosome entry site (IRES)
IRES_FGF2	RF00224	FGF-2 internal ribosome entry site (IRES)
IRES_Tobamo	RF00225	Tobamovirus internal ribosome entry site (IRES)
IRES_n-myc	RF00226	n-myc internal ribosome entry site (IRES)
FIE3	RF00227	FIE3 (ftz instability element 3') element
IRES_HepA	RF00228	Hepatitis A virus internal ribosome entry site (IRES)
IRES_Picorna	RF00229	Picornavirus internal ribosome entry site (IRES)
T-box	RF00230	T-box leader
SCARNA13	RF00231	Small Cajal body specific RNA 13
Spi-1	RF00232	Spi-1 (PU.1) 5' UTR regulatory element
Tymo_tRNA-like	RF00233	Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
glmS	RF00234	glmS glucosamine-6-phosphate activated ribozyme
Plasmid_RNAIII	RF00235	Plasmid RNAIII
ctRNA_pGA1	RF00236	ctRNA
mir-9	RF00237	mir-9/mir-79 microRNA precursor family
ctRNA_pND324	RF00238	ctRNA
mir-124	RF00239	mir-124 microRNA precursor family
RNA-OUT	RF00240	RNA-OUT
mir-8	RF00241	mir-8/mir-141/mir-200 microRNA precursor family
ctRNA_pT181	RF00242	ctRNA
traJ_5	RF00243	traJ 5' UTR
mir-26	RF00244	mir-26 microRNA precursor family
mir-19	RF00245	mir-19 microRNA precursor family
mir-135	RF00246	mir-135 microRNA precursor family
mir-160	RF00247	mir-160 microRNA precursor family
mir-148	RF00248	mir-148/mir-152 microRNA precursor family
mir-46	RF00249	mir-46/mir-47/mir-281 microRNA precursor family
mir-TAR	RF00250	Trans-activation response element (TAR)
mir-219	RF00251	mir-219 microRNA precursor family
Alfamo_CPB	RF00252	Alfalfa mosaic virus coat protein binding (CPB) RNA
mir-101	RF00253	mir-101 microRNA precursor family
mir-16	RF00254	mir-16 microRNA precursor family
mir-218	RF00255	mir-218 microRNA precursor family
mir-196	RF00256	mir-196 microRNA precursor family
mir-194	RF00257	mir-194 microRNA precursor family
mir-130	RF00258	mir-130 microRNA precursor family
IFN_gamma	RF00259	Interferon gamma 5' UTR regulatory element
HepC_CRE	RF00260	Hepatitis C virus (HCV) cis-acting replication element (CRE)
IRES_L-myc	RF00261	L-myc internal ribosome entry site (IRES)
sar	RF00262	sar RNA
SNORA68	RF00263	Small nucleolar RNA SNORA68
SNORA64	RF00264	Small nucleolar RNA SNORA64/SNORA10 family
SNORA69	RF00265	Small nucleolar RNA SNORA69
snoZ17	RF00266	Small nucleolar RNA Z17
snoR64	RF00267	Small nucleolar RNA R64/Z200 family
snoZ7	RF00268	Small nucleolar RNA snoZ7/snoR77
SNORD61	RF00270	Small nucleolar RNA SNORD61
SNORD60	RF00271	Small nucleolar RNA SNORD60
SNORA67	RF00272	Small nucleolar RNA SNORA67
SNORD59	RF00273	Small nucleolar RNA SNORD59
SNORD57	RF00274	Small nucleolar RNA SNORD57
SNORD56	RF00275	Small nucleolar RNA SNORD56
SNORD52	RF00276	Small nucleolar RNA SNORD52
SNORD49	RF00277	Small nucleolar RNA SNORD49
SNORD50	RF00278	Small nucleolar RNA SNORD50
SNORD45	RF00279	Small nucleolar RNA SNORD45
SNORD51	RF00280	Small nucleolar RNA SNORD51
SNORD47	RF00281	Small nucleolar RNA SNORD47
SNORD48	RF00282	Small nucleolar RNA SNORD48
SCARNA18	RF00283	small Cajal body-specific RNA 18
SNORD74	RF00284	Small nucleolar RNA SNORD74
snoZ6	RF00285	Z6 small nucleolar RNA
SCARNA8	RF00286	Small Cajal body specific RNA 8
SNORD44	RF00287	Small nucleolar RNA SNORD44
snoZ30	RF00288	Z30 small nucleolar RNA
SNORND104	RF00289	Small nucleolar RNA SNORD104
BaMV_CRE	RF00290	Bamboo mosaic potexvirus (BaMV) cis-regulatory element
snoR639	RF00291	Small nucleolar RNA snoR639/H1
snoTBR5	RF00292	Small nucleolar RNA TBR5
snoM1	RF00293	Small nucleolar RNA snoM1
snoTBR17	RF00294	Small nucleolar RNA TBR17
snoTBR7	RF00295	Small nucleolar RNA TBR7
snoR16	RF00296	Small nucleolar RNA R16
snoZ221_snoR21b	RF00300	Small nucleolar RNA Z221/R21b
snoZ256	RF00301	Small nucleolar RNA Z256
SNORA65	RF00302	Small nucleolar RNA SNORA65
snoR86	RF00303	Small nucleolar RNA snoR86
snoZ279_R105_R108	RF00304	Small nucleolar RNA Z279/snoR105/snoR108
snoZ248	RF00305	Small nucleolar RNA Z248
snoZ178	RF00306	Small nucleolar RNA Z178
snoR98	RF00307	Small nucleolar RNA snoR98
snosnR60_Z15	RF00309	Small nucleolar RNA snR60/Z15/Z230/Z193/J17
snoZ165	RF00310	Small nucleolar RNA Z165
snoZ188	RF00311	Small nucleolar RNA Z188
snoZ206	RF00312	Small nucleolar RNA Z206
snoZ173	RF00313	Small nucleolar RNA Z173
snoZ182	RF00314	Small nucleolar RNA Z182
snoJ33	RF00315	Small nucleolar RNA J33
snoR43	RF00316	Small nucleolar RNA R43
snoZ163	RF00317	Small nucleolar RNA Z163/Z177 family
snoZ175	RF00318	Small nucleolar RNA Z175
SNORA23	RF00319	Small nucleolar RNA SNORA23
snoZ185	RF00320	Small nucleolar RNA Z185
snoZ247	RF00321	Small nucleolar RNA Z247
SNORA31	RF00322	Small nucleolar RNA SNORA31
snoR79	RF00323	Small nucleolar RNA R79
snoMBII-202	RF00324	Small nucleolar RNA MBII-202
SNORD53_SNORD92	RF00325	Small nucleolar RNA SNORD53/SNORD92
snoZ155	RF00326	Small nucleolar RNA Z155
snoZ194	RF00327	Small nucleolar RNA Z194
snoZ161_228	RF00328	Small nucleolar RNA Z161/Z228
snoZ162	RF00329	Small nucleolar RNA Z162
snoZ43	RF00330	Small nucleolar RNA Z43
snoZ169	RF00331	Small nucleolar RNA Z169
snoZ266	RF00332	Small nucleolar RNA Z266
snoZ157	RF00333	Small nucleolar RNA Z157/R69/R10
SNORA3	RF00334	Small nucleolar RNA SNORA3/SNORA45 family
snoZ13_snr52	RF00335	Small nucleolar RNA Z13/snr52
snoJ26	RF00336	Small nucleolar RNA J26
snoZ112	RF00337	Small nucleolar RNA Z112
snoR53	RF00338	Small nucleolar RNA snR53
snoR60	RF00339	Small nucleolar RNA snoR60
SNORA36	RF00340	Small nucleolar RNA SNORA36 family
snoZ39	RF00341	Small nucleolar RNA Z39
snoZ40	RF00342	Small nucleolar RNA Z40
snoZ122	RF00343	Small nucleolar RNA Z122
snoZ267	RF00344	Small nucleolar RNA Z267
snoR1	RF00345	Small nucleolar RNA snoR1
snoR9_plant	RF00348	Small nucleolar RNA snoR9
snoR11	RF00349	Small nucleolar RNA R11/Z151
snoZ152	RF00350	Small nucleolar RNA Z152/R70/R12/
snoR20	RF00351	Small nucleolar RNA R20
snoR21	RF00352	Small nucleolar RNA R21
snoR31_Z110_Z27	RF00353	Small nucleolar RNA snoR31/Z110/Z27
snoR28	RF00355	Small nucleolar RNA snoR28
snoR32_R81	RF00356	Small nucleolar RNA R32/R81/Z41
snoR44_J54	RF00357	Small nucleolar RNA R44/J54/Z268 family
snoZ101	RF00358	Small nucleolar RNA Z101
snoZ102_R77	RF00359	Small nucleolar RNA Z102/R77
snoZ107_R87	RF00360	Small nucleolar RNA Z107/R87
snoZ119	RF00361	Small nucleolar RNA Z119
Pospi_RY	RF00362	Pospiviroid RY motif stem loop
mir-BART1	RF00363	mir-BART1 microRNA precursor family
mir-BART2	RF00364	mir-BART2 microRNA precursor family
mir-BHRF1-1	RF00365	mir-BHRF1-1 microRNA precursor family
mir-BHRF1-2	RF00366	mir-BHRF1-2 microRNA precursor family
mir-BHRF1-3	RF00367	mir-BHRF1-3 microRNA precursor family
sroB	RF00368	sroB RNA
sroC	RF00369	sroC RNA
sroD	RF00370	sroD RNA
sroE	RF00371	sroE RNA
sroH	RF00372	sroH RNA
RNaseP_arch	RF00373	Archaeal RNase P
Gammaretro_CES	RF00374	Gammaretrovirus core encapsidation signal
HIV_PBS	RF00375	HIV primer binding site (PBS)
HIV_GSL3	RF00376	HIV gag stem loop 3 (GSL3)
snoU6-53	RF00377	Small nucleolar RNA U6-53/MBII-28
Qrr	RF00378	Qrr RNA
ydaO-yuaA	RF00379	ydaO/yuaA leader
ykoK	RF00380	ykoK leader
Antizyme_FSE	RF00381	Antizyme RNA frameshifting stimulation element
DnaX	RF00382	DnaX ribosomal frameshifting element
IS1222_FSE	RF00383	Insertion sequence IS1222 ribosomal frameshifting element
Pox_AX_element	RF00384	Poxvirus AX element late mRNA cis-regulatory element
IBV_D-RNA	RF00385	Infectious bronchitis virus D-RNA
Entero_5_CRE	RF00386	Enterovirus 5' cloverleaf cis-acting replication element
IRES_FGF1	RF00387	FGF-1 internal ribosome entry site (IRES)
Anti-Q_RNA	RF00388	Anti-Q RNA
satBaMV_CRE	RF00389	Bamboo mosaic virus satellite RNA cis-regulatory element
UPSK	RF00390	UPSK RNA
RtT	RF00391	RtT RNA
SNORA5	RF00392	Small nucleolar RNA SNORA5
SNORA8	RF00393	Small nucleolar RNA SNORA8
SNORA4	RF00394	Small nucleolar RNA SNORA4
SNORA13	RF00396	Small nucleolar RNA SNORA13
SNORA14	RF00397	Small nucleolar RNA SNORA14
SNORA15	RF00398	Small nucleolar RNA SNORA15
SNORA24	RF00399	Small nucleolar RNA SNORA24
SNORA28	RF00400	Small nucleolar RNA SNORA28
SNORA20	RF00401	Small nucleolar RNA SNORA20
SNORA25	RF00402	Small nucleolar RNA SNORA25
SNORA41	RF00403	Small nucleolar RNA SNORA41
SNORA46	RF00404	Small nucleolar RNA SNORA46
SNORA44	RF00405	Small nucleolar RNA SNORA44
SNORA42	RF00406	Small nucleolar RNA SNORA42/SNORA80 family
SNORA50	RF00407	Small nucleolar RNA SNORA50
SNORA1	RF00408	Small nucleolar RNA SNORA1
SNORA7	RF00409	Small nucleolar RNA SNORA7
SNORA2	RF00410	Small nucleolar RNA SNORA2/SNORA34 family
SNORA9	RF00411	Small nucleolar RNA SNORA9
SNORA21	RF00412	Small nucleolar RNA SNORA21
SNORA19	RF00413	Small nucleolar RNA SNORA19
SNORA22	RF00414	Small nucleolar RNA SNORA22
SNORA30	RF00415	Small nucleolar RNA SNORA30/SNORA37 family
SNORA43	RF00416	Small nucleolar RNA SNORA43
SNORA56	RF00417	Small nucleolar RNA SNORA56
SNORA58	RF00418	Small nucleolar RNA SNORA58
SNORA52	RF00419	Small nucleolar RNA SNORA52
SNORA61	RF00420	Small nucleolar RNA SNORA61
SNORA32	RF00421	Small nucleolar RNA SNORA32
SCARNA24	RF00422	Small Cajal body specific RNA 24
SCARNA4	RF00423	Small Cajal body specific RNA 4
SCARNA16	RF00424	Small Cajal body specific RNA 16
SNORA18	RF00425	Small nucleolar RNA SNORA18
SCARNA15	RF00426	Small Cajal body specific RNA 15
SCARNA23	RF00427	Small Cajal body specific RNA 23
SNORA38	RF00428	Small nucleolar RNA SNORA38
SNORA29	RF00429	Small nucleolar RNA SNORA29
SNORA54	RF00430	Small nucleolar RNA SNORA54
SNORA55	RF00431	Small nucleolar RNA SNORA55
SNORA51	RF00432	Small nucleolar RNA SNORA51
Hsp90_CRE	RF00433	Hsp90 cis-regulatory element
BTE	RF00434	Luteovirus cap-independent translation element (BTE)
ROSE	RF00435	Repression of heat shock gene expression (ROSE) element
UnaL2	RF00436	UnaL2 LINE 3' element
HLE	RF00437	Hairy RNA localisation element (HLE)
SNORA33	RF00438	Small nucleolar RNA SNORA33
SNORD87	RF00439	Small nucleolar RNA SNORD87
SNORD37	RF00440	Small nucleolar RNA SNORD37
snoZ242	RF00441	Small nucleolar RNA Z242
ykkC-yxkD	RF00442	Guanidine-I riboswitch
SNORA27	RF00443	Small nucleolar RNA SNORA27
PrrF	RF00444	PrrF RNA
mir-399	RF00445	mir-399 microRNA precursor family
mir-133	RF00446	mir-133 microRNA precursor family
IRES_Kv1_4	RF00447	Voltage-gated potassium-channel Kv1.4 IRES
IRES_EBNA	RF00448	Epstein-Barr virus nuclear antigen (EBNA) IRES
IRES_HIF1	RF00449	HIF-1 alpha IRES
mir-395	RF00451	mir-395 microRNA precursor family
mir-172	RF00452	mir-172 microRNA precursor family
Cardiovirus_CRE	RF00453	Cardiovirus cis-acting replication element (CRE)
p27_CRE	RF00454	p27 cis-regulatory element
mir-15	RF00455	mir-15 microRNA precursor family
mir-34	RF00456	mir-34 microRNA precursor family
IRES_mnt	RF00457	Mnt IRES
IRES_Cripavirus	RF00458	Cripavirus internal ribosome entry site (IRES)
MPMV_package	RF00459	Mason-Pfizer monkey virus packaging signal
U1A_PIE	RF00460	U1A polyadenylation inhibition element (PIE)
IRES_VEGF_A	RF00461	Vascular endothelial growth factor (VEGF) IRES A
IRES_APC	RF00462	APC internal ribosome entry site (IRES)
ApoB_5_CRE	RF00463	Apolipoprotein B (apoB) 5' UTR cis-regulatory element
mir-92	RF00464	mir-92 microRNA precursor family
JEV_hairpin	RF00465	Japanese encephalitis virus (JEV) hairpin structure
RSV_PBS	RF00467	Rous sarcoma virus (RSV) primer binding site (PBS)
HCV_SLVII	RF00468	Hepatitis C virus stem-loop VII
HCV_SLIV	RF00469	Hepatitis C stem-loop IV
Toga_5_CRE	RF00470	Togavirus 5' plus strand cis-regulatory element
snosnR48	RF00471	Small nucleolar RNA snR48
snosnR55	RF00472	Small nucleolar RNA snR55/Z10
snosnR54	RF00473	Small nucleolar RNA snR54
snosnR57	RF00474	Small nucleolar RNA snR57
snosnR69	RF00475	Small nucleolar RNA snR69
snosnR61	RF00476	Small nucleolar RNA snR61/Z1/Z11
snosnR66	RF00477	Small nucleolar RNA snR66
SCARNA6	RF00478	Small Cajal body specific RNA 6
snosnR71	RF00479	Small nucleolar RNA snR71
HIV_FE	RF00480	HIV Ribosomal frameshift signal
HCV_X3	RF00481	Hepatitis C virus 3'X element
snoF1_F2	RF00482	Small nucleolar RNA F1/F2/snoR5a
IRES_IGF2	RF00483	Insulin-like growth factor II IRES
IRES_Cx32	RF00484	Connexin-32 internal ribosome entry site (IRES)
K_chan_RES	RF00485	Potassium channel RNA editing signal
mir-129	RF00486	mir-129 microRNA precursor family
IRES_Cx43	RF00487	Connexin-43 internal ribosome entry site (IRES)
U1_yeast	RF00488	Yeast U1 spliceosomal RNA
ctRNA_p42d	RF00489	ctRNA
S-element	RF00490	S-element
SCARNA17	RF00492	small Cajal body-specific RNA 17
snoU2-30	RF00493	Small nucleolar RNA U2-30
snoU2_19	RF00494	Small nucleolar RNA U2-19
IRES_Hsp70	RF00495	Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES)
Corona_SL-III	RF00496	Coronavirus SL-III cis-acting replication element (CRE)
EAV_LTH	RF00498	Equine arteritis virus leader TRS hairpin (LTH)
Parecho_CRE	RF00499	Human parechovirus 1 (HPeV1) cis regulatory element (CRE)
TCV_H5	RF00500	Turnip crinkle virus (TCV) repressor of minus strand synthesis H5
Rota_CRE	RF00501	Rotavirus cis-acting replication element (CRE)
TCV_Pr	RF00502	Turnip crinkle virus (TCV) core promoter hairpin (Pr)
RNAIII	RF00503	RNAIII
Glycine	RF00504	Glycine riboswitch
RydC	RF00505	RydC RNA
Thr_leader	RF00506	Threonine operon leader
Corona_FSE	RF00507	Coronavirus frameshifting stimulation element
snosnR64	RF00509	Small nucleolar RNA snR64
Tombus_IRE	RF00510	Tombusvirus internal replication element (IRE)
IRES_KSHV	RF00511	Kaposi's sarcoma-associated herpesvirus internal ribosome entry site
Leu_leader	RF00512	Leucine operon leader
Trp_leader	RF00513	Tryptophan operon leader
His_leader	RF00514	Histidine operon leader
PyrR	RF00515	PyrR binding site
ylbH	RF00516	ylbH leader
serC	RF00517	serC leader
speF	RF00518	speF leader
suhB	RF00519	Makes More Granules Regulator RNA (mmgR)
ybhL	RF00520	ybhL leader
SAM_alpha	RF00521	SAM riboswitch (alpha-proteobacteria)
PreQ1	RF00522	PreQ1 riboswitch
Prion_pknot	RF00523	Prion pseudoknot
R2_retro_el	RF00524	R2 RNA element
Flavivirus_DB	RF00525	Flavivirus DB element
snoMe28S-U3344	RF00526	Small nucleolar RNA Me28S-U3344
snoMe28S-G3255	RF00527	Small nucleolar RNA Me28S-Gm3255
snoMe28S-Gm1083	RF00528	Small nucleolar RNA Me28S-Gm1083
snoMe28S-Am2589	RF00529	Small nucleolar RNA Me28S-Am2589
snoMe28S-Cm2645	RF00530	Small nucleolar RNA Me28S-Cm2645
snoMe28S-Gm3113	RF00531	Small nucleolar RNA Me28S-Gm3113
snoMe18S-Um1356	RF00532	Small nucleolar RNA Me18S-Um1356
snoMe18S-Gm1358	RF00533	Small nucleolar RNA Me18S-Gm1358
SgrS	RF00534	SgrS RNA
snoMe28S-Am982	RF00535	Small nucleolar RNA Me28S-Am982
snoMe28S-Cm3227	RF00536	Small nucleolar RNA Me28S-Cm3227
snoMe28S-Am2634	RF00537	Small nucleolar RNA Me28S-Am2634
snoCD11	RF00538	Small nucleolar RNA CD11
snoMe28S-Cm788	RF00539	Small nucleolar RNA Me28S-Cm788
snopsi18S-1854	RF00540	Small nucleolar RNA psi18S-1854
