3HCDH_N	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
3HCDH_RFF	PF18321	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain
40S_S4_C	PF16121	40S ribosomal protein S4 C-terminus
40S_SA_C	PF16122	40S ribosomal protein SA C-terminus
4F5	PF04419	4F5 protein family
4HB	PF17947	Four helical bundle domain
4HBT	PF03061	Thioesterase superfamily
4HBT_2	PF13279	Thioesterase-like superfamily
4HBT_3	PF13622	Thioesterase-like superfamily
4HB_MCP_1	PF12729	Four helix bundle sensory module for signal transduction
4HFCP_synth	PF04476	4-HFC-P synthase
4HPAD_g_N	PF18671	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal
4PPT_N	PF17837	4'-phosphopantetheinyl transferase N-terminal domain
4_1_CTD	PF05902	4.1 protein C-terminal domain (CTD)
5-FTHF_cyc-lig	PF01812	5-formyltetrahydrofolate cyclo-ligase family
5-nucleotidase	PF06189	5'-nucleotidase
53-BP1_Tudor	PF09038	Tumour suppressor p53-binding protein-1 Tudor
5HT_transport_N	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
5TM-5TMR_LYT	PF07694	5TMR of 5TMR-LYT
5_3_exonuc	PF01367	5'-3' exonuclease, C-terminal SAM fold
5_3_exonuc_N	PF02739	5'-3' exonuclease, N-terminal resolvase-like domain
5_nucleotid	PF05761	5' nucleotidase family
5_nucleotid_C	PF02872	5'-nucleotidase, C-terminal domain
60KD_IMP	PF02096	60Kd inner membrane protein
6PF2K	PF01591	6-phosphofructo-2-kinase
6PGD	PF00393	6-phosphogluconate dehydrogenase, C-terminal domain
7kD_DNA_binding	PF02294	7kD DNA-binding domain
7TM-7TMR_HD	PF07698	7TM receptor with intracellular HD hydrolase
7TMR-DISMED2	PF07696	7TMR-DISM extracellular 2
7TMR-DISM_7TM	PF07695	7TM diverse intracellular signalling
7TMR-HDED	PF07697	7TM-HD extracellular
7tm_1	PF00001	7 transmembrane receptor (rhodopsin family)
7tm_2	PF00002	7 transmembrane receptor (Secretin family)
7tm_3	PF00003	7 transmembrane sweet-taste receptor of 3 GCPR
7tm_4	PF13853	Olfactory receptor
7tm_6	PF02949	7tm Odorant receptor
7tm_7	PF08395	7tm Chemosensory receptor
7TM_GPCR_Sra	PF02117	Serpentine type 7TM GPCR chemoreceptor Sra
7TM_GPCR_Srab	PF10292	Serpentine type 7TM GPCR receptor class ab chemoreceptor
7TM_GPCR_Srb	PF02175	Serpentine type 7TM GPCR chemoreceptor Srb
7TM_GPCR_Srbc	PF10316	Serpentine type 7TM GPCR chemoreceptor Srbc
7TM_GPCR_Srd	PF10317	Serpentine type 7TM GPCR chemoreceptor Srd
7TM_GPCR_Srh	PF10318	Serpentine type 7TM GPCR chemoreceptor Srh
7TM_GPCR_Sri	PF10327	Serpentine type 7TM GPCR chemoreceptor Sri
7TM_GPCR_Srj	PF10319	Serpentine type 7TM GPCR chemoreceptor Srj
7TM_GPCR_Srsx	PF10320	Serpentine type 7TM GPCR chemoreceptor Srsx
7TM_GPCR_Srt	PF10321	Serpentine type 7TM GPCR chemoreceptor Srt
7TM_GPCR_Sru	PF10322	Serpentine type 7TM GPCR chemoreceptor Sru
7TM_GPCR_Srv	PF10323	Serpentine type 7TM GPCR chemoreceptor Srv
7TM_GPCR_Srw	PF10324	Serpentine type 7TM GPCR chemoreceptor Srw
7TM_GPCR_Srx	PF10328	Serpentine type 7TM GPCR chemoreceptor Srx
7TM_GPCR_Srz	PF10325	Serpentine type 7TM GPCR chemoreceptor Srz
7TM_GPCR_Str	PF10326	Serpentine type 7TM GPCR chemoreceptor Str
7TM_transglut	PF14402	7 transmembrane helices usually fused to an inactive transglutaminase
8TM_micro	PF17028	8TM Microsporidial transmembrane domain
A-2_8-polyST	PF07388	Alpha-2,8-polysialyltransferase (POLYST)
A1_Propeptide	PF07966	A1 Propeptide
A2L_zn_ribbon	PF08792	A2L zinc ribbon domain
A2M	PF00207	Alpha-2-macroglobulin family
A2M_BRD	PF07703	Alpha-2-macroglobulin bait region domain
A2M_recep	PF07677	A-macroglobulin receptor binding domain
AAA	PF00004	ATPase family associated with various cellular activities (AAA)
AAA-ATPase_like	PF09820	Predicted AAA-ATPase
AAA_10	PF12846	AAA-like domain
AAA_11	PF13086	AAA domain
AAA_12	PF13087	AAA domain
AAA_13	PF13166	AAA domain
AAA_14	PF13173	AAA domain
AAA_15	PF13175	AAA ATPase domain
AAA_16	PF13191	AAA ATPase domain
AAA_17	PF13207	AAA domain
AAA_18	PF13238	AAA domain
AAA_19	PF13245	AAA domain
AAA_2	PF07724	AAA domain (Cdc48 subfamily)
AAA_21	PF13304	AAA domain, putative AbiEii toxin, Type IV TA system
AAA_22	PF13401	AAA domain
AAA_23	PF13476	AAA domain
AAA_24	PF13479	AAA domain
AAA_25	PF13481	AAA domain
AAA_26	PF13500	AAA domain
AAA_27	PF13514	AAA domain
AAA_28	PF13521	AAA domain
AAA_29	PF13555	P-loop containing region of AAA domain
AAA_3	PF07726	ATPase family associated with various cellular activities (AAA)
AAA_30	PF13604	AAA domain
AAA_31	PF13614	AAA domain
AAA_32	PF13654	AAA domain
AAA_33	PF13671	AAA domain
AAA_34	PF13872	P-loop containing NTP hydrolase pore-1
AAA_35	PF14516	AAA-like domain
AAA_5	PF07728	AAA domain (dynein-related subfamily)
AAA_6	PF12774	Hydrolytic ATP binding site of dynein motor region
AAA_7	PF12775	P-loop containing dynein motor region
AAA_8	PF12780	P-loop containing dynein motor region D4
AAA_9	PF12781	ATP-binding dynein motor region
AAA_assoc	PF14363	Domain associated at C-terminal with AAA
AAA_assoc_2	PF16193	AAA C-terminal domain
AAA_assoc_C	PF09821	C-terminal AAA-associated domain
AAA_lid_1	PF17857	AAA+ lid domain
AAA_lid_10	PF17872	AAA lid domain
AAA_lid_11	PF18198	Dynein heavy chain AAA lid domain
AAA_lid_2	PF17863	AAA lid domain
AAA_lid_3	PF17862	AAA+ lid domain
AAA_lid_4	PF17864	RuvB AAA lid domain
AAA_lid_5	PF17865	Midasin AAA lid domain
AAA_lid_6	PF17866	AAA lid domain
AAA_lid_7	PF17867	Midasin AAA lid domain
AAA_lid_8	PF17868	AAA lid domain
AAA_lid_9	PF17871	AAA lid domain
AAA_PrkA	PF08298	PrkA AAA domain
AadA_C	PF18280	Aminoglycoside adenyltransferase C-terminal domain
AalphaY_MDB	PF04611	Mating type protein A alpha Y mating type dependent binding region
AAL_decarboxy	PF03306	Alpha-acetolactate decarboxylase
AAR2	PF05282	AAR2 protein
AARP2CN	PF08142	AARP2CN (NUC121) domain
AAT	PF03417	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
AATase	PF07247	Alcohol acetyltransferase
AATF-Che1	PF13339	Apoptosis antagonizing transcription factor
AA_kinase	PF00696	Amino acid kinase family
AA_permease	PF00324	Amino acid permease
AA_permease_2	PF13520	Amino acid permease
AA_permease_C	PF13906	C-terminus of AA_permease
AA_permease_N	PF08403	Amino acid permease N-terminal
AA_synth	PF06684	Amino acid synthesis
Aa_trans	PF01490	Transmembrane amino acid transporter protein
ABATE	PF07336	Putative stress-induced transcription regulator
ABA_GPCR	PF12430	Abscisic acid G-protein coupled receptor
ABA_WDS	PF02496	ABA/WDS induced protein
AbbA_antirepres	PF14156	Antirepressor AbbA
ABC-3	PF00950	ABC 3 transport family
ABC1	PF03109	ABC1 family
ABC2_membrane	PF01061	ABC-2 type transporter
ABC2_membrane_2	PF12679	ABC-2 family transporter protein
ABC2_membrane_3	PF12698	ABC-2 family transporter protein
ABC2_membrane_4	PF12730	ABC-2 family transporter protein
ABC2_membrane_5	PF13346	ABC-2 family transporter protein
ABC2_membrane_6	PF06182	ABC-2 family transporter protein
ABC_ATPase	PF09818	Predicted ATPase of the ABC class
ABC_cobalt	PF09819	ABC-type cobalt transport system, permease component
ABC_export	PF16962	Putative ABC exporter
ABC_membrane	PF00664	ABC transporter transmembrane region
ABC_membrane_2	PF06472	ABC transporter transmembrane region 2
ABC_membrane_3	PF13748	ABC transporter transmembrane region
ABC_sub_bind	PF04392	ABC transporter substrate binding protein
ABC_tran	PF00005	ABC transporter
ABC_transp_aux	PF09822	ABC-type uncharacterized transport system
ABC_trans_aux	PF03886	ABC-type transport auxiliary lipoprotein component
ABC_trans_CmpB	PF06541	Putative ABC-transporter type IV
ABC_trans_N	PF14510	ABC-transporter N-terminal
ABC_tran_2	PF16949	Putative ATP-binding cassette
ABC_tran_CTD	PF16326	ABC transporter C-terminal domain
ABC_tran_Xtn	PF12848	ABC transporter
Abdominal-A	PF12407	Homeobox protein
AbfB	PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain
AbfS_sensor	PF18225	Sensor histidine kinase (AbfS) sensor domain
ABG_transport	PF03806	AbgT putative transporter family
Abhydrolase_1	PF00561	alpha/beta hydrolase fold
Abhydrolase_2	PF02230	Phospholipase/Carboxylesterase
Abhydrolase_3	PF07859	alpha/beta hydrolase fold
Abhydrolase_4	PF08386	TAP-like protein
Abhydrolase_5	PF12695	Alpha/beta hydrolase family
Abhydrolase_6	PF12697	Alpha/beta hydrolase family
Abhydrolase_7	PF12715	Abhydrolase family
Abhydrolase_8	PF06259	Alpha/beta hydrolase
Abhydrolase_9	PF10081	Alpha/beta-hydrolase family
Abhydrolase_9_N	PF15420	Alpha/beta-hydrolase family N-terminus
Abhydro_lipase	PF04083	Partial alpha/beta-hydrolase lipase region
AbiEii	PF08843	Nucleotidyl transferase AbiEii toxin, Type IV TA system
AbiEi_1	PF09407	AbiEi antitoxin C-terminal domain
AbiEi_2	PF09952	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
AbiEi_3	PF11459	Transcriptional regulator, AbiEi antitoxin, Type IV TA system
AbiEi_3_N	PF17194	Transcriptional regulator, AbiEi antitoxin N-terminal domain
AbiEi_4	PF13338	Transcriptional regulator, AbiEi antitoxin
AbiGi	PF10899	Putative abortive phage resistance protein AbiGi, antitoxin
AbiGii_2	PF16873	Putative abortive phage resistance protein AbiGii toxin
AbiH	PF14253	Bacteriophage abortive infection AbiH
AbiJ_NTD3	PF18860	AbiJ N-terminal domain 3
AbiJ_NTD4	PF18863	AbiJ N-terminal domain 4
AbiJ_NTD5	PF18865	AbiJ N-terminal domain 5
AbiTii	PF18864	AbiTii
Abi_2	PF07751	Abi-like protein
Abi_C	PF14355	Abortive infection C-terminus
Abi_HHR	PF07815	Abl-interactor HHR
AbLIM_anchor	PF16182	Putative adherens-junction anchoring region of AbLIM
ABM	PF03992	Antibiotic biosynthesis monooxygenase
Abp2	PF09441	ARS binding protein 2
AbrB	PF05145	Transition state regulatory protein AbrB
AbrB-like	PF14250	AbrB-like transcriptional regulator
AbrB_C	PF18277	AbrB C-terminal domain
Ac110_PIF	PF07280	Per os infectivity factor AC110
Ac76	PF05814	Orf76 (Ac76)
Ac81	PF05820	Baculoviridae AC81
ACAS_N	PF16177	Acetyl-coenzyme A synthetase N-terminus
Acatn	PF13000	Acetyl-coenzyme A transporter 1
ACBP	PF00887	Acyl CoA binding protein
ACCA	PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
ACC_central	PF08326	Acetyl-CoA carboxylase, central region
ACC_epsilon	PF13822	Acyl-CoA carboxylase epsilon subunit
ACD	PF16671	Actin cross-linking domain
ACDC	PF14733	AP2-coincident C-terminal
AceK	PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)
Acetate_kinase	PF00871	Acetokinase family
AcetDehyd-dimer	PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation
Acetone_carb_G	PF08882	Acetone carboxylase gamma subunit
AcetylCoA_hydro	PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain
AcetylCoA_hyd_C	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain
Acetyltransf_1	PF00583	Acetyltransferase (GNAT) family
Acetyltransf_10	PF13673	Acetyltransferase (GNAT) domain
Acetyltransf_11	PF13720	Udp N-acetylglucosamine O-acyltransferase; Domain 2
Acetyltransf_13	PF13880	ESCO1/2 acetyl-transferase
Acetyltransf_14	PF03421	YopJ Serine/Threonine acetyltransferase
Acetyltransf_15	PF17013	Putative acetyl-transferase
Acetyltransf_16	PF05301	GNAT acetyltransferase, Mec-17
Acetyltransf_17	PF17668	Acetyltransferase (GNAT) domain
Acetyltransf_18	PF18014	Acetyltransferase (GNAT) domain
Acetyltransf_19	PF18015	Acetyltransferase (GNAT) domain
Acetyltransf_2	PF00797	N-acetyltransferase
Acetyltransf_3	PF13302	Acetyltransferase (GNAT) domain
Acetyltransf_4	PF13420	Acetyltransferase (GNAT) domain
Acetyltransf_5	PF13444	Acetyltransferase (GNAT) domain
Acetyltransf_6	PF13480	Acetyltransferase (GNAT) domain
Acetyltransf_7	PF13508	Acetyltransferase (GNAT) domain
Acetyltransf_8	PF13523	Acetyltransferase (GNAT) domain
Acetyltransf_9	PF13527	Acetyltransferase (GNAT) domain
Acetyltransf_CG	PF14542	GCN5-related N-acetyl-transferase
AChE_tetra	PF08674	Acetylcholinesterase tetramerisation domain
ACI44	PF15270	Metallo-carboxypeptidase inhibitor
Acid_phosphat_B	PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)
Acid_PPase	PF12689	Acid Phosphatase
AcMNPV_Ac109	PF05054	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein
Aconitase	PF00330	Aconitase family (aconitate hydratase)
Aconitase_2_N	PF06434	Aconitate hydratase 2 N-terminus
Aconitase_B_N	PF11791	Aconitate B N-terminal domain
Aconitase_C	PF00694	Aconitase C-terminal domain
ACOX	PF01756	Acyl-CoA oxidase
ACP	PF06857	Malonate decarboxylase delta subunit (MdcD)
Acp26Ab	PF05777	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)
ACP53EA	PF06313	Drosophila ACP53EA protein
ACPS	PF01648	4'-phosphopantetheinyl transferase superfamily
ACP_PD	PF04336	Acyl carrier protein phosphodiesterase
ACP_syn_III	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
ACP_syn_III_C	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
AcrZ	PF10766	Multidrug efflux pump-associated protein AcrZ
ACR_tran	PF00873	AcrB/AcrD/AcrF family
ACT	PF01842	ACT domain
Act-Frag_cataly	PF09192	Actin-fragmin kinase, catalytic
ActA	PF05058	ActA Protein
ACTH_assoc	PF16102	ACTH-associated domain
ACTH_domain	PF00976	Corticotropin ACTH domain
Actin	PF00022	Actin
Actino_peptide	PF14408	Ribosomally synthesised peptide in actinomycetes
Actin_micro	PF17003	Putative actin-like family
Activator-TraM	PF11657	Transcriptional activator TraM
Activator_LAG-3	PF11498	Transcriptional activator LAG-3
Activin_recp	PF01064	Activin types I and II receptor domain
ACTL7A_N	PF16840	Actin-like protein 7A N-terminus
ACT_3	PF10000	ACT domain
ACT_4	PF13291	ACT domain
ACT_5	PF13710	ACT domain
ACT_6	PF13740	ACT domain
ACT_7	PF13840	ACT domain
acVLRF1	PF18859	Actinobacteria/chloroflexi VLRF1 release factor
Acyl-ACP_TE	PF01643	Acyl-ACP thioesterase
Acyl-CoA_dh_1	PF00441	Acyl-CoA dehydrogenase, C-terminal domain
Acyl-CoA_dh_2	PF08028	Acyl-CoA dehydrogenase, C-terminal domain
Acyl-CoA_dh_C	PF12806	Acetyl-CoA dehydrogenase C-terminal like
Acyl-CoA_dh_M	PF02770	Acyl-CoA dehydrogenase, middle domain
Acyl-CoA_dh_N	PF02771	Acyl-CoA dehydrogenase, N-terminal domain
Acyl-CoA_ox_N	PF14749	Acyl-coenzyme A oxidase N-terminal
Acyl-thio_N	PF12590	Acyl-ATP thioesterase
AcylCoA_dehyd_C	PF12186	Acyl-CoA dehydrogenase C terminal
AcylCoA_DH_N	PF12418	Acyl-CoA dehydrogenase N terminal
Acylphosphatase	PF00708	Acylphosphatase
Acyltransferase	PF01553	Acyltransferase
Acyltransf_C	PF16076	Acyltransferase C-terminus
Acyl_CoA_thio	PF02551	Acyl-CoA thioesterase
Acyl_transf_1	PF00698	Acyl transferase domain
Acyl_transf_2	PF02273	Acyl transferase
Acyl_transf_3	PF01757	Acyltransferase family
AC_N	PF16214	Adenylyl cyclase N-terminal extracellular and transmembrane region
AD	PF09793	Anticodon-binding domain
Ada3	PF10198	Histone acetyltransferases subunit 3
ADAM17_MPD	PF16698	Membrane-proximal domain, switch, for ADAM17
ADAM_CR	PF08516	ADAM cysteine-rich
ADAM_CR_2	PF17771	ADAM cysteine-rich domain
ADAM_spacer1	PF05986	ADAM-TS Spacer 1
Adaptin_binding	PF10199	Alpha and gamma adaptin binding protein p34
Adaptin_N	PF01602	Adaptin N terminal region
Adap_comp_sub	PF00928	Adaptor complexes medium subunit family
Ada_Zn_binding	PF02805	Metal binding domain of Ada
ADC	PF06314	Acetoacetate decarboxylase (ADC)
ADD_ATRX	PF17981	Cysteine Rich ADD domain
ADD_DNMT3	PF17980	Cysteine rich ADD domain in DNMT3
Adenine_deam_C	PF13382	Adenine deaminase C-terminal domain
Adenine_glyco	PF03352	Methyladenine glycosylase
Adenosine_kin	PF04008	Adenosine specific kinase
Adeno_100	PF02438	Late 100kD protein
Adeno_52K	PF03052	Adenoviral protein L1 52/55-kDa
Adeno_E1A	PF02703	Early E1A protein
Adeno_E1B_19K	PF01691	Adenovirus E1B 19K protein / small t-antigen
Adeno_E1B_55K	PF01696	Adenovirus EB1 55K protein / large t-antigen
Adeno_E1B_55K_N	PF04623	Adenovirus E1B protein N-terminus
Adeno_E3	PF06040	Adenovirus E3 protein
Adeno_E3A	PF05248	Adenovirus E3A
Adeno_E3B	PF03376	Adenovirus E3B protein
Adeno_E3_14_5	PF04834	Early E3 14.5 kDa protein
Adeno_E3_15_3	PF03307	Adenovirus 15.3kD protein in E3 region
Adeno_E3_CR1	PF02440	Adenovirus E3 region protein CR1
Adeno_E3_CR2	PF02439	Adenovirus E3 region protein CR2
Adeno_E4	PF05385	Mastadenovirus early E4 13 kDa protein
Adeno_E4_34	PF04528	Adenovirus early E4 34 kDa protein conserved region
Adeno_E4_ORF3	PF06931	Mastadenovirus E4 ORF3 protein
Adeno_GP19K	PF04881	Adenovirus GP19K
Adeno_hexon	PF01065	Hexon, adenovirus major coat protein, N-terminal domain
Adeno_hexon_C	PF03678	Hexon, adenovirus major coat protein, C-terminal domain
Adeno_IVa2	PF02456	Adenovirus IVa2 protein
Adeno_knob	PF00541	Adenoviral fibre protein (knob domain)
Adeno_Penton_B	PF01686	Adenovirus penton base protein
Adeno_PIX	PF03955	Adenovirus hexon-associated protein (IX)
Adeno_PV	PF03910	Adenovirus minor core protein PV
Adeno_PVIII	PF01310	Adenovirus hexon associated protein, protein VIII
Adeno_PX	PF05829	Adenovirus late L2 mu core protein (Protein X)
Adeno_shaft	PF00608	Adenoviral fibre protein (repeat/shaft region)
Adeno_terminal	PF02459	Adenoviral DNA terminal protein
Adeno_VII	PF03228	Adenoviral core protein VII
AdenylateSensor	PF16579	Adenylate sensor of SNF1-like protein kinase
Adenylate_cycl	PF01295	Adenylate cyclase, class-I
Adenylsucc_synt	PF00709	Adenylosuccinate synthetase
Adenyl_cycl_N	PF12633	Adenylate cyclase NT domain
Adenyl_transf	PF04439	Streptomycin adenylyltransferase
AdHead_fibreRBD	PF16812	C-terminal head domain of the fowl adenovirus type 1 long fibre
Adhes-Ig_like	PF09085	Adhesion molecule, immunoglobulin-like
Adhesin_Dr	PF04619	Dr-family adhesin
Adhesin_E	PF16747	Surface-adhesin protein E
Adhesin_P1	PF03257	Mycoplasma adhesin P1
Adhesin_P1_N	PF18652	Adhesin P1 N-terminal domain
ADH_N	PF08240	Alcohol dehydrogenase GroES-like domain
ADH_N_2	PF16884	N-terminal domain of oxidoreductase
ADH_N_assoc	PF13823	Alcohol dehydrogenase GroES-associated
adh_short	PF00106	short chain dehydrogenase
adh_short_C2	PF13561	Enoyl-(Acyl carrier protein) reductase
ADH_zinc_N	PF00107	Zinc-binding dehydrogenase
ADH_zinc_N_2	PF13602	Zinc-binding dehydrogenase
ADIP	PF11559	Afadin- and alpha -actinin-Binding
Adipogenin	PF15202	Adipogenin
Adipokin_hormo	PF06377	Adipokinetic hormone
ADK	PF00406	Adenylate kinase
ADK_lid	PF05191	Adenylate kinase, active site lid
AdoHcyase	PF05221	S-adenosyl-L-homocysteine hydrolase
AdoHcyase_NAD	PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
AdoMetDC_leader	PF08132	S-adenosyl-l-methionine decarboxylase leader peptide
AdoMet_dc	PF02675	S-adenosylmethionine decarboxylase
AdoMet_MTase	PF07757	Predicted AdoMet-dependent methyltransferase
AdoMet_Synthase	PF01941	S-adenosylmethionine synthetase (AdoMet synthetase)
ADPrib_exo_Tox	PF03496	ADP-ribosyltransferase exoenzyme
ADPRTs_Tse2	PF18648	Tse2 ADP-ribosyltransferase toxins
ADP_PFK_GK	PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
ADP_ribosyl_GH	PF03747	ADP-ribosylglycohydrolase
ADSL_C	PF10397	Adenylosuccinate lyase C-terminus
Ad_cyc_g-alpha	PF08509	Adenylate cyclase G-alpha binding domain
Ad_Cy_reg	PF16701	Adenylate cyclase regulatory domain
Aegerolysin	PF06355	Aegerolysin
AEP1	PF17049	ATPase expression protein 1
Aerolysin	PF01117	Aerolysin toxin
AF-4	PF05110	AF-4 proto-oncoprotein
AF0941-like	PF14591	AF0941-like
AF2331-like	PF14556	AF2331-like
AfaD	PF05775	Enterobacteria AfaD invasin protein
Afaf	PF15339	Acrosome formation-associated factor
AFG1_ATPase	PF03969	AFG1-like ATPase
Afi1	PF07792	Docking domain of Afi1 for Arf3 in vesicle trafficking
AflR	PF08493	Aflatoxin regulatory protein
AFOR_C	PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
AFOR_N	PF02730	Aldehyde ferredoxin oxidoreductase, N-terminal domain
AFP	PF02420	Insect antifreeze protein repeat
AFP_2	PF18815	Bacterial antifreeze protein repeat
AfsA	PF03756	A-factor biosynthesis hotdog domain
AFT	PF08731	Transcription factor AFT
Aft1_HRA	PF11786	Aft1 HRA domain
Aft1_HRR	PF11787	Aft1 HRR domain
Aft1_OSA	PF11785	Aft1 osmotic stress response (OSM) domain
AftA_C	PF12249	Arabinofuranosyltransferase A C terminal
AftA_N	PF12250	Arabinofuranosyltransferase N terminal
Ag332	PF04671	Erythrocyte membrane-associated giant protein antigen 332
AGA2	PF17366	A-agglutinin-binding subunit Aga2
Agarase_CBM	PF17992	Agarase CBM like domain
Agenet	PF05641	Agenet domain
Agglutinin	PF07468	Agglutinin domain
Agglutinin_C	PF18021	Agglutinin C-terminal
AGH	PF17558	Androgenic gland hormone
AgI_II_C2	PF17998	Cell surface antigen I/II C2 terminal domain
AglB_L1	PF18079	Archaeal glycosylation protein B long peripheral domain
AGOG	PF09171	N-glycosylase/DNA lyase
Agouti	PF05039	Agouti protein
Ago_hook	PF10427	Argonaute hook
AGO_N	PF18236	Argonaute N domain
Ago_N_1	PF18351	Fungal Argonaute N-terminal domain
Ago_PAZ	PF18309	Argonaute PAZ domain
AGP	PF06376	Arabinogalactan peptide
aGPT-Pplase1	PF18723	alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 1
aGPT-Pplase2	PF18724	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 2
aGPT-Pplase3	PF18746	Alpha-glutamyl/putrescinyl thymine pyrophosphorylase clade 3
AgrB	PF04647	Accessory gene regulator B
AgrD	PF05931	Staphylococcal AgrD protein
Agro_virD5	PF04730	Agrobacterium VirD5 protein
AGS_C	PF18134	Adenylyl/Guanylyl and SMODS C-terminal sensor domain
AGT	PF11440	DNA alpha-glucosyltransferase
AGTRAP	PF06396	Angiotensin II, type I receptor-associated protein (AGTRAP)
Aha1_N	PF09229	Activator of Hsp90 ATPase, N-terminal
AHD	PF17793	ANC1 homology domain (AHD)
AHH	PF14412	A nuclease family of the HNH/ENDO VII superfamily with conserved AHH
AHJR-like	PF18743	REase_AHJR-like
AHL_synthase	PF17327	Acyl homoserine lactone synthase
AhpC-TSA	PF00578	AhpC/TSA family
AhpC-TSA_2	PF13911	AhpC/TSA antioxidant enzyme
AHSA1	PF08327	Activator of Hsp90 ATPase homolog 1-like protein
AHSP	PF09236	Alpha-haemoglobin stabilising protein
AI-2E_transport	PF01594	AI-2E family transporter
AIB	PF15334	Aurora kinase A and ninein interacting protein
AICARFT_IMPCHas	PF01808	AICARFT/IMPCHase bienzyme
AID	PF18767	Activation induced deaminase
AIDA	PF16168	Adhesin of bacterial autotransporter system, probable stalk
Aida_C2	PF14186	Cytoskeletal adhesion
Aida_N	PF08910	Aida N-terminus
AidB_N	PF18158	Adaptive response protein AidB N-terminal domain
AIF-MLS	PF14962	Mitochondria Localisation Sequence
AIF_C	PF14721	Apoptosis-inducing factor, mitochondrion-associated, C-term
AIG1	PF04548	AIG1 family
AIG2_2	PF13772	AIG2-like family
Ail_Lom	PF06316	Enterobacterial Ail/Lom protein
Aim19	PF10315	Altered inheritance of mitochondria protein 19
Aim21	PF11489	Altered inheritance of mitochondria protein 21
AIM24	PF01987	Mitochondrial biogenesis AIM24
